region,country,capital_city,attraction_1
Hohenlohekreis,Germany,Künzelsau,Schwäbisch Hall
Schwäbisch Hall,Germany,Stuttgart,Kocher
Main-Tauber-Kreis,Germany,Tauberbischofsheim,Bad Windsheim
Ostalbkreis,Germany,Aalen,Schwäbisch Hall
Karlsruhe,Germany,Baden,Rhine
"Baden-Baden, Stadtkreis",Germany,Baden-Baden,Black Forest
"Karlsruhe, Stadtkreis",Germany,Baden,Rhine
"Karlsruhe, Landkreis",Germany,Baden,Rhine
Rastatt,Germany,Rastatt,Upper Rhine Plain
"Mannheim, Stadtkreis",Germany,and Germany,University City of Mannheim
Neckar-Odenwald-Kreis,Germany,Mosbach,Rhine
"Pforzheim, Stadtkreis",Germany,Pforzheim,Karlsruhe
Emmendingen,Germany,the district Emmendingen of Germany,Elz River
Schwarzwald-Baar-Kreis,Germany,Villingen-Schwenningen,Swiss
Tuttlingen,Germany,the district Tuttlingen,Black Forest
Lörrach,Germany,Lörrach,Wiese
Zollernalbkreis,Germany,Balingen,Swabian Alb
Biberach,Germany,Biberach,Ortenaukreis
Bodenseekreis,Germany,Friedrichshafen,Tübingen
Ravensburg,Germany,the district of Ravensburg,Upper Swabia
Sigmaringen,Germany,Sigmaringen district,Baden
Bayern,Germany,Munich,Free State of Bavaria
Oberbayern,Germany,Munich,Upper Bavaria
"Ingolstadt, Kreisfreie Stadt",Germany,Ingolstadt,Danube
"München, Kreisfreie Stadt",Germany,and most populous city of Bavaria,Alps
"Rosenheim, Kreisfreie Stadt",Germany,Rosenheim,Bavarian Alpine Foreland
Altötting,Germany,the district Altötting of Germany,Pope John Paul
Berchtesgadener Land,Germany,Bad Reichenhall,Austrian
Bad Tölz-Wolfratshausen,Germany,the Bad Tölz-Wolfratshausen district,Bad Tölz
Eichstätt,Germany,the district of Eichstätt,Altmühl
Freising,Germany,the Freising Landkreis,Freising Landkreis
Garmisch-Partenkirchen,Germany,Garmisch-Partenkirchen,Oberbayern
Miesbach,Germany,the Miesbach district,County of Hohenwaldeck
"München, Landkreis",Germany,and most populous city of Bavaria,Alps
"Rosenheim, Landkreis",Germany,Rosenheim,Bavarian Alpine Foreland
Starnberg,Germany,the district of Starnberg,Lake Starnberg
Niederbayern,Germany,Landshut,Lower Bavaria
"Landshut, Kreisfreie Stadt",Germany,Lower Bavaria,River Isar
"Passau, Kreisfreie Stadt",Germany,Passau,Lower Bavaria
"Straubing, Kreisfreie Stadt",Germany,Straubing,Gäubodenvolksfest
"Landshut, Landkreis",Germany,Lower Bavaria,River Isar
"Passau, Landkreis",Germany,Passau,Lower Bavaria
Rottal-Inn,Germany,Pfarrkirchen,Austrian
"Amberg, Kreisfreie Stadt",Germany,Amberg,Upper Palatinate
"Regensburg, Kreisfreie Stadt",Germany,the Upper Palatinate subregion of the state,Upper Palatinate
"Regensburg, Landkreis",Germany,the Upper Palatinate subregion of the state,Upper Palatinate
Estonia,Estonia,Tallinn,Tallinn Old Town
Ireland,Ireland,Dublin,Cliffs of Moher
Ireland,Ireland,Dublin,Cliffs of Moher
Greece,Greece,Athens,Acropolis of Athens
Spain,Spain,Madrid,Sagrada Familia
France,France,Paris,Eiffel Tower
Croatia,Croatia,Zagreb,Plitvice Lakes
Italy,Italy,Rome,Colosseum
Cyprus,Cyprus,Nicosia,Tombs of the Kings
Latvia,Latvia,Riga,Riga Old Town
Lithuania,Lithuania,Vilnius,Gediminas Tower
Luxembourg,Luxembourg,Luxembourg City,Casemates du Bock
Luxembourg,Luxembourg,Luxembourg City,Casemates du Bock
Luxembourg,Luxembourg,Luxembourg City,Casemates du Bock
Luxembourg,Luxembourg,Luxembourg City,Casemates du Bock
Hungary,Hungary,Budapest,Parliament Building
Malta,Malta,Valletta,St John Co-Cathedral
Malta,Malta,Valletta,St John Co-Cathedral
Malta,Malta,Valletta,St John Co-Cathedral
Malta,Malta,Valletta,St John Co-Cathedral
Netherlands,Netherlands,Amsterdam,Rijksmuseum
Austria,Austria,Vienna,Schoenbrunn Palace
Poland,Poland,Warsaw,Wawel Castle
Portugal,Portugal,Lisbon,Tower of Belem
Romania,Romania,Bucharest,Bran Castle
Slovenia,Slovenia,Ljubljana,Lake Bled
Slovakia,Slovakia,Bratislava,Bratislava Castle
Finland,Finland,Helsinki,Suomenlinna
Sweden,Sweden,Stockholm,Vasa Museum
Iceland,Iceland,Reykjavik,Blue Lagoon
Liechtenstein,Liechtenstein,Vaduz,Vaduz Castle
Liechtenstein,Liechtenstein,Vaduz,Vaduz Castle
Liechtenstein,Liechtenstein,Vaduz,Vaduz Castle
Liechtenstein,Liechtenstein,Vaduz,Vaduz Castle
Norway,Norway,Oslo,Geirangerfjord
Switzerland,Switzerland,Bern,Matterhorn
United Kingdom,United Kingdom,London,Tower of London
Montenegro,Montenegro,Podgorica,Bay of Kotor
North Macedonia,North Macedonia,Skopje,Lake Ohrid
Albania,Albania,Tirana,Butrint
Serbia,Serbia,Belgrade,Belgrade Fortress
Türkiye,Türkiye,Ankara,Hagia Sophia
